epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1647.51,1.22196,0.51877,1.10386,0.81191,0.7545,0.79571,0.25951,2.5376,1.00203,2.17738,0.000911,0.000911,0.000911
57,1676.97,1.24863,0.52795,1.10388,0.7473,0.7054,0.73248,0.21877,2.74115,0.89175,2.3881,0.0008912,0.0008912,0.0008912
58,1706.47,1.22208,0.51751,1.10459,0.69761,0.70228,0.68198,0.20585,2.72626,0.91814,2.29802,0.0008714,0.0008714,0.0008714
59,1735.83,1.21102,0.51286,1.09945,0.80406,0.77906,0.80314,0.24919,2.51653,0.91358,2.11359,0.0008516,0.0008516,0.0008516
60,1765.27,1.21956,0.52254,1.10766,0.75646,0.72831,0.71868,0.21017,2.67072,0.92061,2.33779,0.0008318,0.0008318,0.0008318
61,1794.63,1.22824,0.51875,1.11554,0.84836,0.77578,0.82328,0.26206,2.53702,0.90683,2.12396,0.000812,0.000812,0.000812
62,1823.98,1.20874,0.50909,1.096,0.78582,0.78887,0.79581,0.24437,2.58294,0.89036,2.12966,0.0007922,0.0007922,0.0007922
63,1853.45,1.21951,0.50556,1.10633,0.79576,0.75244,0.77957,0.24315,2.64082,0.90668,2.26084,0.0007724,0.0007724,0.0007724
64,1882.68,1.20414,0.49503,1.09516,0.75658,0.7856,0.75649,0.22419,2.56666,0.91406,2.18818,0.0007526,0.0007526,0.0007526
65,1912.1,1.2301,0.50503,1.11355,0.83488,0.8838,0.89426,0.30376,2.34664,0.82156,1.9615,0.0007328,0.0007328,0.0007328
66,1941.6,1.21529,0.50426,1.10525,0.77248,0.7725,0.77427,0.2459,2.47733,0.92752,2.1283,0.000713,0.000713,0.000713
67,1970.99,1.19233,0.49324,1.09399,0.85837,0.84313,0.85378,0.26946,2.41614,0.86232,2.04969,0.0006932,0.0006932,0.0006932
68,2000.32,1.19113,0.49313,1.09375,0.82788,0.79869,0.82471,0.26145,2.38032,0.98175,2.01118,0.0006734,0.0006734,0.0006734
69,2029.79,1.19185,0.49688,1.09099,0.83248,0.86579,0.8535,0.27061,2.36244,0.88145,2.05021,0.0006536,0.0006536,0.0006536
70,2059.22,1.19546,0.4933,1.09501,0.86372,0.83633,0.86492,0.28753,2.33197,0.89631,1.95205,0.0006338,0.0006338,0.0006338
71,2088.72,1.18298,0.48513,1.09195,0.86266,0.83267,0.86293,0.30931,2.27275,0.90171,1.92281,0.000614,0.000614,0.000614
72,2118.18,1.19908,0.49328,1.08987,0.82344,0.8036,0.83807,0.27978,2.40166,0.9384,1.98384,0.0005942,0.0005942,0.0005942
73,2147.7,1.19514,0.49465,1.09171,0.80105,0.76596,0.76792,0.24608,2.52425,0.90225,2.13999,0.0005744,0.0005744,0.0005744
74,2177.14,1.16129,0.48114,1.0869,0.85608,0.86907,0.8773,0.28331,2.38621,0.85773,2.02905,0.0005546,0.0005546,0.0005546
75,2206.64,1.15969,0.47528,1.07903,0.85078,0.81342,0.83026,0.26859,2.32607,0.94036,2.05269,0.0005348,0.0005348,0.0005348
76,2236.16,1.17423,0.47888,1.08928,0.86878,0.84943,0.86462,0.29138,2.3476,0.90395,2.03576,0.000515,0.000515,0.000515
77,2265.64,1.16398,0.47656,1.08916,0.88157,0.84124,0.88827,0.30251,2.31721,0.88563,1.99529,0.0004952,0.0004952,0.0004952
78,2295.17,1.13852,0.47349,1.07936,0.86013,0.84779,0.87311,0.29832,2.32576,0.90413,1.99674,0.0004754,0.0004754,0.0004754
79,2324.68,1.15298,0.47458,1.07564,0.83771,0.81506,0.82777,0.25095,2.44218,0.87949,2.10536,0.0004556,0.0004556,0.0004556
80,2354.08,1.16316,0.47201,1.08755,0.84226,0.83892,0.85534,0.28087,2.38894,0.90026,2.03085,0.0004358,0.0004358,0.0004358
81,2383.66,1.14854,0.47008,1.07736,0.86912,0.83688,0.8578,0.27722,2.45221,0.85261,2.13128,0.000416,0.000416,0.000416
82,2413.02,1.14968,0.46452,1.083,0.85781,0.86889,0.88111,0.31386,2.22717,0.8454,1.88487,0.0003962,0.0003962,0.0003962
83,2442.4,1.15878,0.46622,1.08375,0.86836,0.85288,0.87849,0.30624,2.29001,0.85302,1.92593,0.0003764,0.0003764,0.0003764
84,2471.93,1.12797,0.46732,1.07343,0.84744,0.82728,0.85368,0.27991,2.3605,0.90555,2.04413,0.0003566,0.0003566,0.0003566
85,2501.26,1.12615,0.46398,1.07407,0.83948,0.83797,0.84842,0.28074,2.42453,0.91798,2.10466,0.0003368,0.0003368,0.0003368
86,2530.69,1.1354,0.46597,1.07811,0.79001,0.79378,0.80042,0.25582,2.45694,0.93628,2.1564,0.000317,0.000317,0.000317
87,2560.13,1.14209,0.45909,1.08101,0.81597,0.86355,0.84462,0.27931,2.45848,0.84966,2.14907,0.0002972,0.0002972,0.0002972
88,2589.36,1.1315,0.45107,1.07101,0.79429,0.76268,0.77334,0.24494,2.57461,0.8872,2.29628,0.0002774,0.0002774,0.0002774
89,2618.73,1.12311,0.46018,1.07315,0.82802,0.85104,0.83176,0.28123,2.37203,0.89749,2.07256,0.0002576,0.0002576,0.0002576
