epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,2074.25,1.03836,0.47306,1.04917,0.9805,0.98238,0.97182,0.49826,1.69938,0.62595,1.28568,0.0005942,0.0005942,0.0005942
73,2102.92,1.05921,0.47584,1.06112,0.97629,0.97651,0.95779,0.45976,1.77095,0.63654,1.30731,0.0005744,0.0005744,0.0005744
74,2131.54,1.01555,0.46832,1.0316,0.96884,0.96916,0.95057,0.47954,1.74311,0.62289,1.29046,0.0005546,0.0005546,0.0005546
75,2160.25,1.04325,0.46977,1.04711,0.9733,0.9721,0.9552,0.43499,1.85427,0.68484,1.32023,0.0005348,0.0005348,0.0005348
76,2188.97,1.01346,0.47688,1.03136,0.97646,0.97452,0.95898,0.45341,1.78847,0.68248,1.32322,0.000515,0.000515,0.000515
77,2217.82,1.00522,0.47155,1.03941,0.98212,0.98385,0.97231,0.47919,1.72868,0.66857,1.30866,0.0004952,0.0004952,0.0004952
78,2246.52,1.02253,0.47131,1.04723,0.96727,0.97651,0.96029,0.4307,1.84299,0.7318,1.35769,0.0004754,0.0004754,0.0004754
79,2275.38,1.0331,0.47177,1.05365,0.97735,0.97797,0.96709,0.44409,1.80706,0.67958,1.3426,0.0004556,0.0004556,0.0004556
80,2304.08,1.03236,0.47251,1.05346,0.97299,0.9721,0.95944,0.46829,1.74632,0.66412,1.32314,0.0004358,0.0004358,0.0004358
81,2332.82,1.00862,0.45781,1.04274,0.97805,0.97797,0.97142,0.46084,1.7705,0.70397,1.33421,0.000416,0.000416,0.000416
82,2361.43,1.01834,0.46369,1.03887,0.9762,0.97063,0.96278,0.44364,1.8251,0.6966,1.33673,0.0003962,0.0003962,0.0003962
