epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,10555.5,0.38263,0.21761,0.79976,0.99941,0.9995,0.99495,0.96081,0.31628,0.16081,0.77998,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,10756.9,0.383,0.21729,0.80308,0.99956,0.9995,0.995,0.96222,0.31703,0.15953,0.77999,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,10958.3,0.38398,0.21835,0.80293,0.99868,1,0.995,0.96287,0.31503,0.16023,0.78023,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,11160.3,0.37762,0.21434,0.80203,0.99963,0.9995,0.995,0.96382,0.31036,0.15703,0.77917,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,11362.9,0.37896,0.21384,0.80048,0.99875,0.9993,0.995,0.96442,0.3123,0.15839,0.77941,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,11566.3,0.37971,0.21526,0.79969,0.9993,0.99925,0.995,0.96386,0.31168,0.15678,0.77902,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,11768.1,0.37688,0.21307,0.79961,0.9991,0.99925,0.99499,0.96457,0.31214,0.15593,0.77924,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,11970.1,0.37533,0.21175,0.80274,0.9986,0.9995,0.99498,0.96359,0.31264,0.15469,0.77936,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,12171.8,0.37506,0.21029,0.80079,0.99911,0.9995,0.99499,0.96289,0.31101,0.15499,0.77886,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,12374.4,0.36848,0.20779,0.80035,0.99918,0.9995,0.99497,0.96326,0.30802,0.15315,0.77826,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,12577.4,0.37036,0.2074,0.79964,0.99909,0.9995,0.995,0.96445,0.30945,0.15268,0.77854,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,12780.1,0.36983,0.20705,0.80086,0.99943,0.9995,0.995,0.96358,0.30917,0.153,0.7785,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,12982.7,0.36956,0.20536,0.80066,0.99892,0.9995,0.995,0.96361,0.3094,0.15285,0.77865,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,13184.9,0.36724,0.20412,0.80175,0.99888,0.9995,0.995,0.96428,0.30856,0.15145,0.77819,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,13386.9,0.36819,0.20559,0.79951,0.99823,1,0.995,0.96457,0.31029,0.15285,0.77861,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,13589.5,0.36472,0.20412,0.79816,0.99891,0.99975,0.99492,0.96386,0.3126,0.1535,0.77839,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,13791.9,0.36347,0.20166,0.79631,0.999,0.99981,0.99498,0.96433,0.31039,0.15057,0.77812,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,13994,0.36207,0.20077,0.79737,0.99901,0.99975,0.995,0.96464,0.30782,0.14932,0.77781,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,14195.9,0.36081,0.19972,0.79955,0.99841,1,0.995,0.96457,0.30622,0.14952,0.77771,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,14398.6,0.35777,0.19735,0.79788,0.99897,0.9995,0.995,0.96547,0.306,0.1491,0.77764,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,14601.1,0.35754,0.19819,0.79785,0.99902,0.9995,0.995,0.96635,0.30639,0.14917,0.77761,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,14803,0.36135,0.19845,0.79948,0.99847,1,0.995,0.96538,0.30611,0.14908,0.77758,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,15005.6,0.35744,0.19573,0.79625,0.99847,1,0.995,0.96645,0.30577,0.14837,0.77733,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,15207.7,0.35731,0.19715,0.79564,0.99848,1,0.995,0.96686,0.3042,0.14723,0.77719,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,15409.4,0.35336,0.194,0.79622,0.999,0.99954,0.995,0.96766,0.30431,0.14663,0.77711,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,15611.2,0.35115,0.19202,0.79591,0.99925,0.99965,0.995,0.96711,0.30429,0.14613,0.77704,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,15814,0.34999,0.19121,0.7968,0.99922,0.99975,0.995,0.96689,0.30445,0.14582,0.7772,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,16016.7,0.34949,0.19044,0.79683,0.99948,0.9995,0.995,0.96655,0.30489,0.14591,0.77715,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,16219.5,0.35272,0.19169,0.79901,0.99925,0.99961,0.995,0.96706,0.30421,0.14602,0.77689,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,16422.8,0.35007,0.1891,0.79656,0.99917,0.99975,0.995,0.96784,0.30321,0.1453,0.77683,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,16625.9,0.34538,0.18723,0.79563,0.99896,0.99975,0.995,0.96739,0.30286,0.14514,0.77659,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,16828.5,0.34675,0.1864,0.79521,0.9995,0.99954,0.995,0.96758,0.3033,0.14494,0.77673,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,17031,0.34443,0.18454,0.79513,0.99946,0.9995,0.995,0.96743,0.30321,0.14502,0.77661,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,17233.8,0.34384,0.18428,0.7945,0.99947,0.9995,0.995,0.96727,0.30329,0.14393,0.77657,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,17436,0.34196,0.18409,0.79387,0.99948,0.9995,0.995,0.96765,0.3026,0.14437,0.77642,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,17638.9,0.33834,0.18076,0.7934,0.9995,0.99943,0.995,0.96803,0.30191,0.14445,0.77638,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,17841.2,0.33961,0.18229,0.79428,0.99946,0.9995,0.995,0.9679,0.30081,0.14438,0.77625,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,18043.2,0.33865,0.1817,0.7941,0.99944,0.9995,0.995,0.96776,0.3014,0.14423,0.77627,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,18245.6,0.33536,0.17872,0.79521,0.99943,0.9995,0.995,0.96831,0.30086,0.14396,0.77623,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,18446.8,0.31358,0.16735,0.78713,0.99941,0.9995,0.995,0.96813,0.30119,0.14415,0.77637,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,18646.7,0.30841,0.16499,0.7836,0.99939,0.9995,0.995,0.96805,0.30087,0.14409,0.77643,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,18846.4,0.3072,0.16363,0.78638,0.99941,0.9995,0.995,0.96776,0.30116,0.14401,0.77635,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,19046.5,0.30617,0.16119,0.78254,0.99947,0.9995,0.995,0.96823,0.30096,0.14332,0.77624,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,19246.7,0.30344,0.15983,0.78277,0.99944,0.9995,0.995,0.96829,0.30095,0.14354,0.77623,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,19447.2,0.30226,0.15805,0.78334,0.99938,0.9995,0.995,0.9677,0.30094,0.14284,0.77617,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,19647.8,0.30119,0.15664,0.78196,0.99937,0.9995,0.995,0.96782,0.30064,0.14219,0.77612,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,19848.8,0.29921,0.15384,0.78448,0.99941,0.9995,0.995,0.9684,0.30056,0.14208,0.77604,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,20048.8,0.29753,0.15279,0.78274,0.99952,0.9995,0.995,0.96858,0.30023,0.14223,0.776,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,20248.7,0.29572,0.15171,0.78235,0.99954,0.9995,0.995,0.96881,0.30002,0.14186,0.77602,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
